subtitle,sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,street_name,floor,is_floor_under,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,price_m2,total_rooms,m2_per_room
Buena Vista,64.0,2,1.0,False,Ronda Don Bosco,4,False,False,105000,1641,True,Flat,False,False,False,True,E,False,1886.6,3.0,21.333333333333332
Buena Vista,83.0,2,2.0,True,Calle de la Duquesa de Tamames,3,False,False,189000,2277,True,Flat,False,False,True,True,E,False,1886.6,4.0,20.75
Buena Vista,110.0,3,1.0,True,Calle de Eugenia de Montijo,3,False,False,215000,1955,True,Flat,False,False,True,True,D,False,1886.6,4.0,27.5
Buena Vista,140.0,3,3.0,True,Calle de Eugenia de Montijo,1,False,False,315000,2250,True,Flat,False,False,False,False,in process,False,1886.6,6.0,23.333333333333332
Buena Vista,70.0,2,1.0,True,NAVALMORALES,2,False,False,149900,2141,True,Flat,False,False,False,True,in process,False,1886.6,3.0,23.333333333333332
Buena Vista,70.0,3,1.0,True,Alto Av. Carabanchel,2,False,False,180000,2571,True,Flat,False,False,True,True,in process,False,1886.6,4.0,17.5
Buena Vista,75.0,2,1.0,True,Avenida de Carabanchel Alto,4,False,False,138000,1840,True,Flat,False,False,False,True,in process,False,1886.6,3.0,25.0
Buena Vista,70.0,3,1.0,True,Calle Paraguaya,3,False,False,135000,1929,True,Flat,False,False,False,True,in process,False,1886.6,4.0,17.5
Buena Vista,70.0,3,1.0,True,Camino de las Cruces,3,False,False,120000,1714,True,Flat,False,False,False,True,in process,False,1886.6,4.0,17.5
Buena Vista,70.0,3,1.0,True,Calle Zarzuela,3,False,False,114000,1629,True,Flat,False,False,False,True,in process,False,1886.6,4.0,17.5
Buena Vista,82.0,3,1.0,False,Calle Alzina,1,False,False,160000,1951,True,Flat,False,False,False,True,exempt property,False,1886.6,4.0,20.5
Buena Vista,57.0,3,1.0,False,Calle del Aguacate,4,False,False,127600,2239,True,Flat,False,False,False,missing,not indicated,False,1886.6,4.0,14.25
Buena Vista,57.0,3,1.0,True,"Calle del Aguacate, Madrid",4,False,False,127600,2239,True,Flat,True,False,False,True,E,False,1886.6,4.0,14.25
Buena Vista,57.0,3,1.0,False,Calle del Aguacate,4,False,False,127600,2239,True,Flat,False,False,False,True,not indicated,False,1886.6,4.0,14.25
Buena Vista,50.0,1,1.0,False,Calle Guayaba,2,False,False,128000,2560,True,Flat,False,False,True,True,not indicated,False,1886.6,2.0,25.0
Buena Vista,65.0,3,1.0,False,Calle de Joaquín Turina,3,False,False,120000,1846,True,Flat,True,False,False,True,in process,False,1886.6,4.0,16.25
